PLAYER_ID,SEASON,PLAYER_NAME,HR_arima,HR_exp_smooth,HR_ridge,HR_random_forest,HR_gradient_boosting,HR,OBP_arima,OBP_exp_smooth,OBP_ridge,OBP_random_forest,OBP_gradient_boosting,OBP,R_arima,R_exp_smooth,R_ridge,R_random_forest,R_gradient_boosting,R,RBI_arima,RBI_exp_smooth,RBI_ridge,RBI_random_forest,RBI_gradient_boosting,RBI,SB_arima,SB_exp_smooth,SB_ridge,SB_random_forest,SB_gradient_boosting,SB,TB_arima,TB_exp_smooth,TB_ridge,TB_random_forest,TB_gradient_boosting,TB
singj001,2024,Jonathan Lee Singleton,6.0205243500262124,0.0,3.852326396745564,6.749698052994679,4.067122720008747,4.067122720008747,0.3338941870899454,0.275269330655474,0.2837393049167489,0.29198232540901486,0.2792315891157868,0.2837393049167489,21.08486387384052,0.0,12.824205591067695,16.465660204705095,13.647898878526785,13.647898878526785,21.886649500711012,0.0,14.132523176180825,14.934875845548959,14.588533957433057,14.588533957433057,0.999992835184994,0.0,0.2857559168440851,0.9747351813864275,0.6360028749074434,0.6360028749074434,51.74056566728794,0.0,37.97534684531615,49.31424744522519,45.693254225748476,45.693254225748476
solej001,2024,Jorge Carlos (Castillo) Soler,20.877015153504,34.921680588424984,23.083577682765263,20.442518365275166,21.93183818833761,21.93183818833761,0.314701130713716,0.32383930752891316,0.3180806892065634,0.3223611923016913,0.3186081297122125,0.3186081297122125,49.5512547817964,75.05076903612624,56.47997074575953,62.37726475078014,53.71376934201342,56.47997074575953,50.7777101236352,75.62266815582514,62.47555522111452,57.60322718436754,52.42930203546548,57.60322718436754,1.2300395326987184,0.7291481821118891,0.0,0.7555008569498635,0.3577371520025014,0.7291481821118891,165.32311686480816,252.5529440984054,183.53429523914497,193.79629411103994,172.22105294758376,183.53429523914497
sprig001,2024,George Chelston Springer,26.238126851849874,27.79015288440723,16.474038974589558,18.32036934018946,17.80456295665978,18.32036934018946,0.356168817902958,0.34439205562404174,0.3406091691882144,0.3277892674850617,0.3265610479312975,0.3406091691882144,84.38975625310202,86.52312177870608,66.06350897448924,70.90928505576719,69.69033362747162,70.90928505576719,69.26556658338878,79.36407369776808,58.85102923455497,57.79583191307681,58.506379909240785,58.85102923455497,12.120913241176778,20.24123750387473,12.981805903060035,13.856096166878395,11.091037100659227,12.981805903060035,230.99695108587767,260.1192995528457,193.95451206801522,205.01090414025072,204.08706935238794,205.01090414025072
suare001,2024,Eugenio Alejandro Suarez,21.91295700876622,23.791725079332068,21.6831894693892,19.784434306061407,25.710657511682268,21.91295700876622,0.3296124639287032,0.3357014577086537,0.3060309267775193,0.2994250477723408,0.30886476997592976,0.30886476997592976,66.43102736916701,69.30645060066985,52.692681210801354,54.052887633280086,55.339926985760954,55.339926985760954,91.25006640093287,105.49286434695634,67.15778947100216,70.45098442048078,66.01366017393848,70.45098442048078,2.7833131733252223,0.0,0.0,1.392243371181911,0.6396861880563793,0.6396861880563793,223.9851406849503,289.2076793614063,178.29639711799814,190.06124308221723,191.56493087798435,191.56493087798435
taylc001,2024,Christopher Armand Taylor,12.098198884021242,18.203512929746225,11.115520809118816,9.902187458985765,10.999505701956089,11.115520809118816,0.31419028213627553,0.33558349765116174,0.301481451320441,0.31701590221231646,0.3127761061155675,0.31419028213627553,48.77084804156836,74.61479731388697,40.271986336934035,38.310816790593435,37.09315608339304,40.271986336934035,47.88732603569946,68.26730401109748,34.741185756739014,35.394977331036245,28.840023623448495,35.394977331036245,9.419058282803986,15.250952963585691,10.172026270557772,8.654862659423326,8.634172141188694,9.419058282803986,137.39567274761572,212.72790624222642,112.98216336773498,99.03835761784654,87.87900463965778,112.98216336773498
taylm002,2024,Michael Anthony Taylor,21.0,21.12089015132729,12.48305824626065,12.126531404760012,12.277078846026514,12.48305824626065,0.28656291198925377,0.2994995339549355,0.2799651182761206,0.2877503623462832,0.2811391474480237,0.28656291198925377,48.0,47.26101110075568,33.6571148032064,35.59588570359637,36.83540977405561,36.83540977405561,51.0,40.836717565716505,34.292289540997444,36.10186352579687,31.750441728285374,36.10186352579687,13.0,10.198574343432309,7.716760168537434,8.137399729620372,7.989435736804123,8.137399729620372,157.0,146.40043791367194,105.03361677698945,107.81993627044308,92.80347690881543,107.81993627044308
vazqc001,2024,Christian Rafael Vazquez,6.867912570833171,11.060582261433963,5.4874081659889775,4.81309633664377,5.132910312624536,5.4874081659889775,0.3141867400566023,0.29873694242930293,0.2876878523312104,0.28906616967818466,0.28581838221348566,0.28906616967818466,36.00243696542623,50.18125610892629,24.314081631120004,23.744240432522204,25.239845981878833,25.239845981878833,34.73555925974216,51.47800315791309,28.611113766150993,24.046267910331157,22.62197269474942,28.611113766150993,3.114075349225923,4.273128268822378,0.548430967030221,1.6155189344904637,1.7179049644328381,1.7179049644328381,116.9662159683309,168.99618749148829,89.43916789300351,74.59041749909257,68.04869790115512,89.43916789300351
walkc002,2024,Christian Dickson Walker,22.354150406939038,38.34792250238576,24.123869103602868,24.26856240752948,22.343180910082637,24.123869103602868,0.3059882536208466,0.3422379792474367,0.32787983383414077,0.3199084720028444,0.3192200020643668,0.3199084720028444,68.73968399289237,106.60195928846883,69.00177864744414,67.95176944244344,64.88566504288738,68.73968399289237,85.95024265829053,114.02134544026124,75.96919127701631,79.7198922849333,73.07215183423217,79.7198922849333,1.6931760016715591,7.7347277532780385,6.147532041829848,6.656153834554915,6.326245255937976,6.326245255937976,231.31671065108884,339.6048844611671,219.9472705121409,226.59550000046235,214.43927918969354,226.59550000046235
albeh001,2024,Hanser Joel (Pena) Alberto,2.7249607596544108,4.650847282000559,2.290937689745359,2.859416012469438,2.502148075079994,2.7249607596544108,0.25371832490470775,0.29083620265099147,0.2668981053133439,0.2811114143850546,0.2822209036862668,0.2811114143850546,18.1464872925065,24.395304991724174,13.255757809233316,15.617088385628897,13.851044639348913,15.617088385628897,16.418866451424247,26.330764617568718,15.182094413681511,15.108245040670765,13.724915968451038,15.182094413681511,1.182995537538662,1.009239123799542,0.2377498072841746,1.1342081688574241,0.9695879571228265,1.009239123799542,62.471851109049155,94.04365548382337,47.50163960281384,43.37222172381425,44.3864151700836,47.50163960281384
barna001,2024,Austin Scott Barnes,4.067078759047667,6.406980300922353,2.944487297507333,3.178815209435311,2.9541139553032503,3.178815209435311,0.3439048319386099,0.2736905911445196,0.28578548390274133,0.29063571294547735,0.2824515332186879,0.28578548390274133,18.4988444856178,31.51037018708219,15.411317371021127,14.641004082797814,16.17797987749671,16.17797987749671,18.82985194355079,25.2904410926261,13.138049697132942,13.661380770150572,12.92769649839663,13.661380770150572,2.076061291157017,2.6083998986448482,1.5445930808108201,1.1183613759238058,1.3655131646575824,1.5445930808108201,52.83194287627309,76.38558880771934,44.14467481572751,43.25925962156986,42.990781756394526,44.14467481572751
